age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,hours_per_week,native_country,income_50k_threshold,income_90k_threshold,income
28,Private,58485,HS-grad,9,Never-married,Production,Unmarried,White,Male,0,45,United-States,>50k,<=90k,58750
55,Private,700206,Some-college,10,Never-married,Production,Not-in-family,Black,Male,0,40,United-States,<=50k,<=90k,33750
85,?,289227,7th-8th,4,Widowed,?,Not-in-family,White,Female,0,26,United-States,<=50k,<=90k,18750
33,Private,39807,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,2000,60,United-States,>50k,<=90k,53750
62,Private,467620,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,16250
58,Private,175272,HS-grad,9,Never-married,Construction,Not-in-family,Black,Male,0,40,United-States,<=50k,<=90k,21250
18,Private,63671,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,52,United-States,<=50k,<=90k,11250
17,Private,158363,12th,8,Never-married,Other-service,Own-child,White,Male,0,30,United-States,<=50k,<=90k,1250
26,Private,211706,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,1,25,United-States,<=50k,<=90k,31250
20,Private,40970,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,20,United-States,<=50k,<=90k,8750
25,Local-gov,510263,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,40,United-States,>50k,<=90k,61250
24,Private,752704,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,36,United-States,<=50k,<=90k,31250
50,State-gov,388743,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,>50k,>90k,101250
38,Private,296476,HS-grad,9,Divorced,Construction,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,48750
22,Federal-gov,213071,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,40,United-States,<=50k,<=90k,38750
34,Private,60968,Assoc-acdm,12,Never-married,Prof-specialty,Unmarried,White,Female,0,32,United-States,<=50k,<=90k,26250
62,Private,342145,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States,<=50k,<=90k,41250
49,Private,450752,HS-grad,9,Never-married,Production,Other-relative,White,Male,0,48,United-States,<=50k,<=90k,41250
60,Self-emp-not-inc,44023,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,20,United-States,>50k,<=90k,78750
37,Private,377452,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,50,United-States,>50k,<=90k,73750
63,Federal-gov,47758,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,40,United-States,>50k,<=90k,56250
25,Private,517600,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,40,Bangladesh,<=50k,<=90k,46250
19,Private,389348,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,20,United-States,<=50k,<=90k,13750
51,Self-emp-not-inc,573862,Bachelors,13,Married-spouse-absent,Construction,Unmarried,White,Male,0,40,Poland,<=50k,<=90k,41250
24,Private,282706,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,20,United-States,<=50k,<=90k,38750
41,Private,196495,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,50,United-States,>50k,<=90k,53750
52,Private,363948,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,45,United-States,>50k,>90k,101250
28,Private,390655,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,40,United-States,<=50k,<=90k,3750
30,Private,110569,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,40,United-States,<=50k,<=90k,46250
36,Private,161181,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,160000,48,United-States,>50k,>90k,101250
58,Local-gov,383117,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,35,United-States,<=50k,<=90k,23750
46,Private,493260,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,50,United-States,>50k,>90k,101250
