Threatened_species,Year,Series,Value
"China, Macao SAR",2019,Threatened Species: Invertebrates (number),1
Solomon Islands,2016,Threatened Species: Total (number),243
Nigeria,2016,Threatened Species: Total (number),359
Bulgaria,2016,Threatened Species: Plants (number),6
Austria,2010,Threatened Species: Invertebrates (number),55
Jamaica,2017,Threatened Species: Plants (number),214
Australia,2004,Threatened Species: Vertebrates (number),282
Bouvet Island,2010,Threatened Species: Invertebrates (number),0
Honduras,2010,Threatened Species: Invertebrates (number),17
Guernsey,2018,Threatened Species: Vertebrates (number),5
Côte d’Ivoire,2019,Threatened Species: Total (number),270
Bolivia (Plurin. State of),2019,Threatened Species: Invertebrates (number),3
Martinique,2010,Threatened Species: Plants (number),8
Bhutan,2020,Threatened Species: Total (number),101
"China, Hong Kong SAR",2020,Threatened Species: Plants (number),11
Wallis and Futuna Islands,2020,Threatened Species: Vertebrates (number),27
Kiribati,2016,Threatened Species: Total (number),102
Chile,2010,Threatened Species: Invertebrates (number),9
Estonia,2004,Threatened Species: Invertebrates (number),4
Tokelau,2017,Threatened Species: Vertebrates (number),14
Antarctica,2016,Threatened Species: Plants (number),0
Mauritania,2016,Threatened Species: Plants (number),0
Argentina,2010,Threatened Species: Total (number),213
China,2004,Threatened Species: Vertebrates (number),326
Brunei Darussalam,2020,Threatened Species: Vertebrates (number),97
Guinea-Bissau,2016,Threatened Species: Total (number),76
Svalbard and Jan Mayen Is.,2016,Threatened Species: Total (number),7
Mauritius,2019,Threatened Species: Vertebrates (number),54
Solomon Islands,2019,Threatened Species: Vertebrates (number),77
Somalia,2019,Threatened Species: Plants (number),49
Martinique,2020,Threatened Species: Total (number),62
"Bonaire, St. Eustatius & Saba",2020,Threatened Species: Invertebrates (number),11
Turkey,2020,Threatened Species: Invertebrates (number),88
Western Sahara,2016,Threatened Species: Vertebrates (number),44
Canada,2010,Threatened Species: Invertebrates (number),12
Ecuador,2020,Threatened Species: Total (number),2501
Sao Tome and Principe,2019,Threatened Species: Plants (number),49
Suriname,2017,Threatened Species: Total (number),83
Western Sahara,2017,Threatened Species: Vertebrates (number),46
U.S. Minor Outlying islands,2018,Threatened Species: Invertebrates (number),47
Andorra,2016,Threatened Species: Invertebrates (number),7
Grenada,2010,Threatened Species: Total (number),37
"China, Hong Kong SAR",2019,Threatened Species: Vertebrates (number),51
Brunei Darussalam,2020,Threatened Species: Total (number),275
Liechtenstein,2017,Threatened Species: Total (number),6
Grenada,2010,Threatened Species: Invertebrates (number),10
Malaysia,2019,Threatened Species: Invertebrates (number),282
Niue,2018,Threatened Species: Total (number),52
Oman,2020,Threatened Species: Total (number),112
Nauru,2010,Threatened Species: Invertebrates (number),62
Svalbard and Jan Mayen Is.,2010,Threatened Species: Total (number),3
United States Virgin Islands,2020,Threatened Species: Invertebrates (number),0
Svalbard and Jan Mayen Is.,2019,Threatened Species: Vertebrates (number),10
Finland,2018,Threatened Species: Invertebrates (number),10
Pakistan,2019,Threatened Species: Invertebrates (number),18
Uzbekistan,2019,Threatened Species: Vertebrates (number),43
Costa Rica,2019,Threatened Species: Plants (number),144
Qatar,2017,Threatened Species: Plants (number),0
Guinea,2004,Threatened Species: Total (number),67
Dem. People's Rep. Korea,2019,Threatened Species: Plants (number),17
Cocos (Keeling) Islands,2004,Threatened Species: Plants (number),0
Ireland,2018,Threatened Species: Invertebrates (number),6
Cayman Islands,2004,Threatened Species: Vertebrates (number),16
Saint Kitts and Nevis,2004,Threatened Species: Plants (number),2
American Samoa,2019,Threatened Species: Invertebrates (number),65
Cabo Verde,2010,Threatened Species: Vertebrates (number),28
Seychelles,2017,Threatened Species: Invertebrates (number),320
Malawi,2016,Threatened Species: Invertebrates (number),16
Mali,2004,Threatened Species: Vertebrates (number),19
Argentina,2019,Threatened Species: Vertebrates (number),190
Dem. People's Rep. Korea,2016,Threatened Species: Invertebrates (number),3
Bahamas,2017,Threatened Species: Vertebrates (number),66
Antarctica,2020,Threatened Species: Vertebrates (number),6
United Arab Emirates,2010,Threatened Species: Invertebrates (number),16
New Zealand,2019,Threatened Species: Plants (number),24
Holy See,2016,Threatened Species: Total (number),1
Marshall Islands,2020,Threatened Species: Invertebrates (number),73
Pitcairn,2017,Threatened Species: Invertebrates (number),16
Nicaragua,2004,Threatened Species: Vertebrates (number),49
North Macedonia,2016,Threatened Species: Vertebrates (number),34
Gibraltar,2004,Threatened Species: Vertebrates (number),16
Luxembourg,2010,Threatened Species: Plants (number),0
Falkland Islands (Malvinas),2010,Threatened Species: Plants (number),5
Cabo Verde,2010,Threatened Species: Plants (number),3
Congo,2010,Threatened Species: Total (number),103
Singapore,2019,Threatened Species: Vertebrates (number),77
Lao People's Dem. Rep.,2004,Threatened Species: Total (number),91
Oman,2010,Threatened Species: Total (number),79
Djibouti,2019,Threatened Species: Total (number),109
Somalia,2020,Threatened Species: Invertebrates (number),62
Chad,2004,Threatened Species: Invertebrates (number),1
Dem. Rep. of the Congo,2004,Threatened Species: Total (number),171
Timor-Leste,2019,Threatened Species: Vertebrates (number),31
Italy,2016,Threatened Species: Plants (number),79
Gibraltar,2004,Threatened Species: Total (number),18
Heard Is. and McDonald Is.,2016,Threatened Species: Invertebrates (number),0
Belize,2020,Threatened Species: Invertebrates (number),12
Malaysia,2016,Threatened Species: Vertebrates (number),282
Brazil,2017,Threatened Species: Invertebrates (number),55
Liberia,2018,Threatened Species: Vertebrates (number),112
Bahrain,2019,Threatened Species: Plants (number),0
Greenland,2018,Threatened Species: Invertebrates (number),0
Burkina Faso,2018,Threatened Species: Vertebrates (number),26
Nepal,2017,Threatened Species: Invertebrates (number),3
Nigeria,2019,Threatened Species: Invertebrates (number),13
Tokelau,2020,Threatened Species: Invertebrates (number),35
Tokelau,2004,Threatened Species: Total (number),6
Paraguay,2016,Threatened Species: Vertebrates (number),40
Vanuatu,2010,Threatened Species: Vertebrates (number),32
Libya,2004,Threatened Species: Invertebrates (number),0
Panama,2018,Threatened Species: Vertebrates (number),154
Uganda,2010,Threatened Species: Total (number),166
Cambodia,2020,Threatened Species: Plants (number),41
Eswatini,2019,Threatened Species: Plants (number),13
British Virgin Islands,2017,Threatened Species: Plants (number),10
American Samoa,2020,Threatened Species: Vertebrates (number),32
Brazil,2018,Threatened Species: Vertebrates (number),407
Slovenia,2010,Threatened Species: Total (number),95
Guam,2018,Threatened Species: Plants (number),4
Sri Lanka,2018,Threatened Species: Plants (number),294
Kuwait,2019,Threatened Species: Vertebrates (number),43
France,2017,Threatened Species: Total (number),278
Australia,2020,Threatened Species: Vertebrates (number),433
Zimbabwe,2010,Threatened Species: Plants (number),16
Turkmenistan,2004,Threatened Species: Vertebrates (number),35
Dominica,2020,Threatened Species: Total (number),74
Zambia,2004,Threatened Species: Plants (number),8
Nepal,2017,Threatened Species: Total (number),104
Honduras,2016,Threatened Species: Invertebrates (number),21
Argentina,2019,Threatened Species: Invertebrates (number),14
Austria,2010,Threatened Species: Total (number),82
United States Virgin Islands,2019,Threatened Species: Total (number),67
Malta,2020,Threatened Species: Vertebrates (number),38
Benin,2004,Threatened Species: Plants (number),14
Guatemala,2017,Threatened Species: Total (number),290
Malaysia,2018,Threatened Species: Invertebrates (number),265
Germany,2004,Threatened Species: Vertebrates (number),35
Mauritius,2017,Threatened Species: Invertebrates (number),120
Suriname,2020,Threatened Species: Plants (number),29
Ethiopia,2010,Threatened Species: Vertebrates (number),79
Namibia,2017,Threatened Species: Invertebrates (number),4
Egypt,2017,Threatened Species: Invertebrates (number),56
Papua New Guinea,2020,Threatened Species: Invertebrates (number),183
Dem. Rep. of the Congo,2019,Threatened Species: Plants (number),185
Uzbekistan,2017,Threatened Species: Total (number),59
Madagascar,2018,Threatened Species: Plants (number),871
Botswana,2020,Threatened Species: Total (number),33
Uruguay,2020,Threatened Species: Plants (number),22
State of Palestine,2018,Threatened Species: Plants (number),6
South Africa,2017,Threatened Species: Vertebrates (number),233
Qatar,2018,Threatened Species: Plants (number),0
Slovakia,2016,Threatened Species: Vertebrates (number),19
Mexico,2016,Threatened Species: Total (number),1152
Guyana,2018,Threatened Species: Plants (number),26
Lebanon,2018,Threatened Species: Plants (number),24
British Virgin Islands,2010,Threatened Species: Invertebrates (number),10
Myanmar,2004,Threatened Species: Plants (number),38
Denmark,2010,Threatened Species: Invertebrates (number),12
Senegal,2020,Threatened Species: Plants (number),23
Gabon,2018,Threatened Species: Total (number),283
Lithuania,2004,Threatened Species: Vertebrates (number),12
Egypt,2017,Threatened Species: Vertebrates (number),97
Tristan da Cunha,2019,Threatened Species: Plants (number),45
Bahamas,2019,Threatened Species: Invertebrates (number),12
Niger,2018,Threatened Species: Invertebrates (number),1
Mozambique,2017,Threatened Species: Invertebrates (number),67
Mauritania,2010,Threatened Species: Invertebrates (number),1
El Salvador,2017,Threatened Species: Plants (number),29
Nicaragua,2020,Threatened Species: Vertebrates (number),89
Saint Pierre and Miquelon,2017,Threatened Species: Plants (number),0
Egypt,2010,Threatened Species: Total (number),121
Papua New Guinea,2018,Threatened Species: Invertebrates (number),180
Iraq,2010,Threatened Species: Total (number),60
Senegal,2020,Threatened Species: Invertebrates (number),13
Maldives,2018,Threatened Species: Plants (number),0
Congo,2019,Threatened Species: Plants (number),47
Georgia,2019,Threatened Species: Vertebrates (number),42
Eritrea,2016,Threatened Species: Plants (number),4
British Virgin Islands,2019,Threatened Species: Invertebrates (number),10
Romania,2019,Threatened Species: Plants (number),20
Heard Is. and McDonald Is.,2016,Threatened Species: Plants (number),0
Cambodia,2010,Threatened Species: Invertebrates (number),67
South Africa,2016,Threatened Species: Invertebrates (number),202
Finland,2016,Threatened Species: Vertebrates (number),17
Kenya,2020,Threatened Species: Total (number),549
Bolivia (Plurin. State of),2018,Threatened Species: Vertebrates (number),129
