iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,0.0,tonnes,,2023-10-09 10:24:58.541435,
ABW,waste,biological-treatment-of-solid-waste-and-biogenic,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-09 10:24:58.541435,
