iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,513.030477,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
ABW,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
ABW,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,15391.016301,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
ABW,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,44116.850699999995,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
ABW,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,3.872313,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
ABW,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,515.206478,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
ABW,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
ABW,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,15479.466699,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
ABW,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,44327.053296,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
ABW,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,3.976171,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
ABW,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,517.271469,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
ABW,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
ABW,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,15557.574847,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
ABW,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,44520.72438,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
ABW,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,4.0527310000000005,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
ABW,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,519.2442470000001,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
ABW,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
